game_id,proposer_name,responder_name,proposer_idx,responder_idx,offer,decision,proposer_payoff,responder_payoff,proposer_age,proposer_gender,proposer_job,responder_age,responder_gender,responder_job,proposer_FS,proposer_GR,proposer_RA,proposer_SS,proposer_ST,responder_FS,responder_GR,responder_RA,responder_SS,responder_ST,proposer_tokens,responder_tokens,total_tokens,proposer_reasoning,responder_reasoning
11,Daniel Cohen,Talia Ben-Shahar,1,32,35,accept,65,35,28,Male,Software Engineer,21,Female,Economics Student,0.63,0.41,0.53,0.37,0.72,0.58,0.47,0.37,0.63,0.71,413,418,831,"As a software engineer playing with an economics student, I need to consider that Talia likely understands game theory well. Economics students typically know that offers below 30% are often rejected due to fairness concerns. Given we're both from Israel and she's younger/a student with likely lower income, I should offer enough to seem fair while maximizing my share. A 35-40% offer balances fairness with profit. I'll offer $35, which is above the typical rejection threshold and acknowledges the income disparity while still securing $65 for myself.","While $35 is less than an equal split, it's still a significant amount of money. Rejecting would mean getting $0 instead of $35. From an economic rationality perspective, $35 is better than nothing. Although the split favors Daniel (65-35), it's not extremely unfair - I'm still getting more than one-third of the total. As an economics student, I recognize that rejecting would be cutting off my nose to spite my face. The emotional satisfaction of punishing an unfair offer doesn't outweigh the real financial loss."
12,Daniel Cohen,Talia Ben-Shahar,1,32,35,accept,65,35,28,Male,Software Engineer,21,Female,Economics Student,0.63,0.41,0.53,0.37,0.72,0.58,0.47,0.37,0.63,0.71,413,434,847,"As a software engineer playing with an economics student, I need to consider that Talia likely understands game theory well. Economics students learn about the Ultimatum Game and typical rejection thresholds. Research shows offers below 20-25% are frequently rejected as unfair. Given we're both from Israel and relatively close in age, cultural fairness norms apply. I'll offer $35, which is above the typical rejection threshold and shows respect for fairness, while still securing a meaningful $65 for myself. This balances profit maximization with high acceptance probability.","As an economics student, I understand the rational choice theory behind this game. While $35 is less than a 50-50 split, it's still a significant amount of money - it's $35 more than I'd have otherwise. If I reject, I get nothing, which is objectively worse. The 65-35 split isn't egregiously unfair, and Daniel is offering me more than a third of the total. From a pure economic standpoint, accepting any positive amount is better than getting zero. Though the split favors him, $35 has real value and rejecting would be cutting off my nose to spite my face."
13,Daniel Cohen,Talia Ben-Shahar,1,32,35,accept,65,35,28,Male,Software Engineer,21,Female,Economics Student,0.63,0.41,0.53,0.37,0.72,0.58,0.47,0.37,0.63,0.71,405,453,858,"As a software engineer playing with an economics student, I need to consider that Talia likely understands game theory well. Economics students typically know that offers below 30% are often rejected due to fairness concerns. Given we're both from Israel and relatively close in age, cultural fairness norms suggest a reasonable split. Offering $35-40 balances maximizing my return while ensuring acceptance. I'll offer $35, which is above the typical rejection threshold and shows respect for fairness while keeping $65 for myself.","As an economics student, I need to weigh the rational choice here. While $35 is less than an equal split, it's still a significant amount of money - better than the $0 I'd get if I reject. The offer is somewhat unfair (35/65 split), but from a purely economic standpoint, $35 is better than nothing. Rejecting would be an emotional response that costs me $35 to punish Daniel's unfair proposal. However, this split is on the borderline of acceptability - studies show people often reject offers below 30-40%. Given that I'm a student and $35 has real value to me, and the offer is just above the typical rejection threshold, I'll accept."
14,Daniel Cohen,Talia Ben-Shahar,1,32,40,accept,60,40,28,Male,Software Engineer,21,Female,Economics Student,0.63,0.41,0.53,0.37,0.72,0.58,0.47,0.37,0.63,0.71,436,442,878,"As an economics student, Talia likely understands game theory and the Ultimatum Game well. She knows that rejecting any positive offer means getting $0. However, economics students also tend to have strong fairness preferences and may reject offers they perceive as exploitative. Research shows offers below 30% are frequently rejected. Given she's younger and a student (likely more financially constrained), she might accept slightly less than a perfect 50-50 split, but I shouldn't push too far. A 40-60 split (giving her $40) balances maximizing my gain while respecting fairness norms enough that an economics student would rationally accept.","As an economics student, I recognize this as a classic Ultimatum Game scenario. While $40 is less than an equal split, it's still a significant amount of money - 40% of the total. From a purely rational economic perspective, $40 is better than $0, which is what I'd get if I reject. The offer isn't egregiously unfair (like 90-10 or 80-20), and rejecting would be cutting off my nose to spite my face. Studies show that offers around 40-60 splits have reasonable acceptance rates. While I might prefer a 50-50 split, accepting $40 is the economically rational choice."
15,Daniel Cohen,Talia Ben-Shahar,1,32,35,accept,65,35,28,Male,Software Engineer,21,Female,Economics Student,0.63,0.41,0.53,0.37,0.72,0.58,0.47,0.37,0.63,0.71,404,403,807,"As a software engineer, I understand game theory basics, and Talia as an economics student likely knows the Ultimatum Game well. Research shows people typically reject offers below 20-30% as unfair. Given she's a student (likely needs money) and studies economics (understands rational behavior), I'll offer $35. This is above the typical rejection threshold, demonstrates fairness, while securing $65 for myself. It's generous enough to be accepted but not so high that I'm leaving money on the table.","While $35 is less than an equal split, it's still a meaningful amount of money. Daniel is offering me more than one-third of the total, which, though not perfectly fair, isn't an insulting offer. As an economics student, I know that rejecting means we both get nothing, and $35 is better than $0. The strategic rational choice is to accept any positive offer, even if it feels somewhat unfair. Rejecting would be purely emotional and costly to both of us."
16,Daniel Cohen,Miriam Gold,1,49,40,accept,60,40,28,Male,Software Engineer,29,Male,Translator,0.63,0.41,0.53,0.37,0.72,0.78,0.26,0.47,0.68,0.6,356,390,746,"Given we're both from Israel, similar ages, and working professionals, I should make a fair offer that respects cultural norms and professional courtesy. A 60-40 split gives me the larger share while being reasonable enough to avoid rejection. Offering $40 shows respect and acknowledges that something is better than nothing for both of us, which should lead to acceptance.","Daniel is proposing a 60-40 split in his favor, which means he keeps $20 more than me. While this isn't a perfectly equal split, $40 is still a substantial amount of money and represents 40% of the total. Rejecting would mean we both get nothing, which would be worse for me than accepting $40. The offer, while not ideal, is within a reasonable range and not so unfair as to warrant rejection."
17,Daniel Cohen,Miriam Gold,1,49,35,accept,65,35,28,Male,Software Engineer,29,Male,Translator,0.63,0.41,0.53,0.37,0.72,0.78,0.26,0.47,0.68,0.6,399,396,795,"As a fellow Israeli professional close in age to Miriam, I should consider cultural norms and fairness expectations. A 50-50 split might seem ideal for fairness, but in the Ultimatum Game, offers around 30-40% are typically accepted while allowing me to keep more. Given we're both professionals from the same country with similar ages, Miriam will likely expect reasonable fairness. I'll offer $35, which is above the minimum acceptance threshold but allows me to keep $65. This respects fairness norms while optimizing my return.","While a 35-65 split is not perfectly equal, $35 is a meaningful amount of money that I would receive with certainty. Rejecting would leave me with nothing and would also punish Daniel, but that doesn't improve my financial position. From a practical standpoint, gaining $35 is better than gaining $0, even if the split feels somewhat unequal. The offer isn't insultingly low, and accepting is the rational choice to maximize my actual payoff."
18,Daniel Cohen,Miriam Gold,1,49,40,accept,60,40,28,Male,Software Engineer,29,Male,Translator,0.63,0.41,0.53,0.37,0.72,0.78,0.26,0.47,0.68,0.6,371,383,754,"As a software engineer in Israel playing with Miriam, also from Israel and close in age, I should consider cultural norms and fairness expectations. Given we're both young professionals with similar backgrounds, an overly low offer might be rejected on principle. Research shows offers below 30% are frequently rejected. A 40-60 split shows respect while still keeping the larger share. This balances self-interest with a high likelihood of acceptance.","Daniel is offering me $40 out of $100, which is a 40-60 split in his favor. While not perfectly equal, $40 is a substantial amount of money and rejecting would leave me with nothing. A 40% share, though less than half, is above the typical rejection threshold in ultimatum games (usually around 30%). Getting $40 is better than getting $0 out of principle."
19,Daniel Cohen,Miriam Gold,1,49,35,accept,65,35,28,Male,Software Engineer,29,Male,Translator,0.63,0.41,0.53,0.37,0.72,0.78,0.26,0.47,0.68,0.6,396,384,780,"As fellow Israelis in similar age groups and professional fields, there's likely shared cultural understanding. Miriam (despite the traditionally female name, noted as male) is a translator - a skilled professional deserving respect. Research shows offers below 30% are frequently rejected. Given our similar backgrounds and the risk of rejection leading to $0 for both, I'll offer a fair but slightly asymmetric split that acknowledges my proposer advantage while showing respect. A 35-40% offer is strategic - fair enough to likely be accepted while maximizing my return.","While $35 is less than half of $100, it's still a significant amount of money that I would be walking away from if I reject. A 35-65 split isn't perfectly fair, but it's not an extremely unfair offer either. Rejecting would mean I get nothing instead of $35, which would be punishing both of us. From a practical standpoint, $35 is better than $0."
20,Daniel Cohen,Miriam Gold,1,49,40,accept,60,40,28,Male,Software Engineer,29,Male,Translator,0.63,0.41,0.53,0.37,0.72,0.78,0.26,0.47,0.68,0.6,382,376,758,"Given that Miriam and I are both from Israel, similar in age, and both working professionals, I should make a fair offer that respects equality while still benefiting from the proposer advantage. Research shows offers below 30% are often rejected as unfair. Given our similar backgrounds and the fact we're both Israeli (cultural context of fairness), I'll offer $40, which is substantial enough to avoid rejection while securing $60 for myself. This shows respect while maximizing my return.","Daniel is offering me $40 out of $100, which is 40%. While not a perfect 50-50 split, this is above the typical rejection threshold in ultimatum games. Getting $40 is significantly better than getting $0, which is what would happen if I reject. The offer, though not equal, is reasonable enough to accept rather than punish both of us with nothing."
21,Daniel Cohen,Liam Johnson,1,3,35,accept,65,35,28,Male,Software Engineer,22,Male,Student,0.63,0.41,0.53,0.37,0.72,0.42,0.67,0.31,0.18,0.46,373,382,755,"As a software engineer, I understand game theory and fair distribution. Liam is a young student in the USA, likely with limited income and student expenses. Research shows offers below 30% are frequently rejected as unfair. A 35% offer ($35) is reasonable - it's above the rejection threshold, acknowledges his student financial needs, while still securing me the majority ($65). This balances fairness with self-interest and minimizes rejection risk.","While $35 is less than a 50-50 split, it's still a significant amount of money for a student. Rejecting would mean I get $0 instead of $35. From a purely rational perspective, $35 is better than $0, even though the split favors Daniel. The offer isn't extremely unfair (like 90-10), and accepting guarantees me real money rather than nothing."
22,Daniel Cohen,Liam Johnson,1,3,35,accept,65,35,28,Male,Software Engineer,22,Male,Student,0.63,0.41,0.53,0.37,0.72,0.42,0.67,0.31,0.18,0.46,373,364,737,"As a software engineer, I understand game theory and fairness considerations. Liam is a young student in the USA, likely with limited income. Research shows offers below 30% are frequently rejected. Given cultural expectations of fairness and that he's a student who could use the money, I'll offer $35. This is generous enough to likely be accepted while still securing $65 for myself - a solid outcome that balances fairness with self-interest.","While a 35-65 split isn't perfectly equal, $35 is still a significant amount of money for me as a student. Rejecting would mean I get nothing, and $35 is better than $0. Though the split favors Daniel, it's not so unfair that I should walk away with nothing out of principle."
23,Daniel Cohen,Liam Johnson,1,3,32,accept,68,32,28,Male,Software Engineer,22,Male,Student,0.63,0.41,0.53,0.37,0.72,0.42,0.67,0.31,0.18,0.46,407,378,785,"As a software engineer, I understand game theory principles. Liam is a young student in the USA who likely needs money. Research shows offers below 20-25% are often rejected due to fairness concerns. Given he's a student (limited income) and cultural factors (American students tend to expect fairness), I should offer enough to seem fair while maximizing my share. An offer of $30-35 balances generosity with self-interest. I'll offer $32 - it's roughly 1/3, appears fair and thoughtful (not a round number suggesting calculation), and gives me $68.","While $68-$32 is not an equal split, $32 is still real money that I would gain. Daniel is offering me less than a fair 50-50 split, but rejecting would leave me with nothing. From a purely economic standpoint, $32 is better than $0. Though the offer feels somewhat unfair, accepting still puts me $32 ahead of where I started."
24,Daniel Cohen,Liam Johnson,1,3,35,accept,65,35,28,Male,Software Engineer,22,Male,Student,0.63,0.41,0.53,0.37,0.72,0.42,0.67,0.31,0.18,0.46,408,397,805,"As a software engineer, I understand game theory and fairness considerations. Liam is a young student in the USA, likely with limited income. Research shows offers below 20-30% are frequently rejected due to fairness concerns. However, offers around 30-40% have high acceptance rates. Given Liam's student status and likely financial constraints, he may be more inclined to accept a reasonable offer. I'll offer $35, which is 35% - a fair split that shows respect while maximizing my return. This is above the typical rejection threshold and should appeal to a practical student who could use the money.","While $35 out of $100 is below a 50-50 split, it's still a significant amount of money for me as a student. Rejecting would give me $0 instead of $35. From a purely rational economic perspective, $35 is better than nothing. Though the split feels somewhat unfair (65-35), it's not extremely lopsided, and Daniel may have proposed this based on his own reasoning. Accepting guarantees me real money rather than nothing."
25,Daniel Cohen,Liam Johnson,1,3,35,accept,65,35,28,Male,Software Engineer,22,Male,Student,0.63,0.41,0.53,0.37,0.72,0.42,0.67,0.31,0.18,0.46,388,390,778,"As a software engineer, I understand game theory basics. Liam is a young student in the USA, likely needs money, but also has a sense of fairness. Offering too little risks rejection (both get $0), but offering too much leaves money on the table. Research shows most people reject offers below 30% as unfair. Given he's a student (potentially needs money) and the cross-cultural context, I'll offer $35 - enough to seem fair and reasonable while maximizing my return at $65.","While the split is not equal, $35 is still a significant amount of money, especially as a student. Rejecting would mean getting $0 instead of $35. Even though Daniel gets nearly twice as much, accepting $35 is better than walking away with nothing. The offer isn't insultingly low - it's roughly a 35/65 split, which while unequal, is still reasonable enough to accept rather than leave money on the table."
26,Daniel Cohen,Noah Williams,1,12,40,accept,60,40,28,Male,Software Engineer,41,Female,Data Analyst,0.63,0.41,0.53,0.37,0.72,0.49,0.32,0.72,0.3,0.88,432,391,823,"As a software engineer, I understand data-driven decision making. Noah is a data analyst, so she likely thinks analytically about fairness and value. Given the cultural context (I'm from Israel, she's from the USA), and that she's more senior in age, I should offer a fair split that respects her position while still maximizing my gain. A 60-40 split in my favor might be seen as slightly unfair. A 50-50 split is safest but leaves money on the table. I'll offer $40 - this is substantial enough to be acceptable (40% of the total) while giving me a reasonable $60. This is above the typical minimum acceptance threshold of 30% and shows respect for her as an equal player.","Daniel is offering me $40 out of $100, which is a 40-60 split in his favor. While not perfectly equal, $40 is a substantial amount of real money. Rejecting would mean I get nothing instead of $40. From a purely rational economic perspective, $40 is better than $0. Although the split favors Daniel, it's not extremely unfair - I'm getting a reasonable share. Accepting is the pragmatic choice."
27,Daniel Cohen,Noah Williams,1,12,40,accept,60,40,28,Male,Software Engineer,41,Female,Data Analyst,0.63,0.41,0.53,0.37,0.72,0.49,0.32,0.72,0.3,0.88,400,385,785,"As a software engineer, I understand game theory and fairness principles. Given Noah is a data analyst, she likely also understands fair splits and expected values. A 70-30 split ($30 offer) might be rejected as too low. A 60-40 split ($40 offer) is more reasonable but still risks rejection. Research shows offers below 30% are frequently rejected, while offers of 40-50% have high acceptance rates. I'll offer $40, which gives me $60 while providing Noah with a meaningful amount that should be acceptable given it's a reasonable share of the total.","Daniel is proposing a 60-40 split in his favor. While not perfectly equal, $40 is a significant amount of money and represents 40% of the total. Rejecting would leave me with nothing. From a rational economic perspective, $40 is better than $0. Though the split favors Daniel, it's not extremely unfair - I'm still getting a substantial portion. Accepting is in my best financial interest."
28,Daniel Cohen,Noah Williams,1,12,35,accept,65,35,28,Male,Software Engineer,41,Female,Data Analyst,0.63,0.41,0.53,0.37,0.72,0.49,0.32,0.72,0.3,0.88,387,375,762,"As a software engineer, I understand data-driven decision making. Noah is a data analyst, so she likely thinks analytically about fairness and value. A 70-30 split heavily favoring me risks rejection. Research shows offers below 30% are often rejected on principle. Given the cross-cultural context (Israel-USA) and that she's older and may value fairness, I'll offer $35. This gives me $65 while showing respect and making rejection unlikely, as it's above the typical rejection threshold of 25-30%.","While $35 is less than a 50-50 split, it's still a significant amount of real money. Rejecting would leave me with $0 instead of $35. The offer, though somewhat unfair, gives me more than a third of the total. From a purely rational economic standpoint, $35 is better than $0, even if the split favors Daniel."
29,Daniel Cohen,Noah Williams,1,12,35,accept,65,35,28,Male,Software Engineer,41,Female,Data Analyst,0.63,0.41,0.53,0.37,0.72,0.49,0.32,0.72,0.3,0.88,389,399,788,"As a software engineer, I understand data-driven decision making, which Noah as a data analyst will likely appreciate. Research shows ultimatum game offers below 20-30% are frequently rejected as unfair. Given Noah is older, more experienced, and from the USA where fairness norms in such games tend to expect 30-40% offers, I should offer enough to appear fair while maximizing my share. A 35% offer ($35) balances respect for fairness norms with profit maximization, reducing rejection risk while keeping $65 for myself.","While the $65-$35 split is not equal, I need to weigh fairness against practical outcomes. $35 is still a meaningful amount of money that I would gain at no cost. If I reject out of principle, I get nothing. The offer, though unequal, gives me more than half of what an equal split would provide ($35 vs $50). From a rational economic standpoint, accepting $35 is better than getting $0, even if the split feels somewhat unfair."
30,Daniel Cohen,Noah Williams,1,12,40,accept,60,40,28,Male,Software Engineer,41,Female,Data Analyst,0.63,0.41,0.53,0.37,0.72,0.49,0.32,0.72,0.3,0.88,361,381,742,"As a software engineer, I understand game theory and fairness principles. Noah is older, female, and from the USA where fairness norms tend to favor more equitable splits. Offering too little (below $30) risks rejection. A $40 offer represents a reasonable compromise - it's substantial enough to be perceived as fair while allowing me to keep the majority. This balances maximizing my return with minimizing rejection risk.","While the split is not equal, $40 is a substantial amount of money that I would gain by accepting. A 40-60 split, though favoring Daniel, is not extremely unfair - it's within a reasonable range. Rejecting would leave me with nothing out of principle, which doesn't make financial sense. The rational choice is to accept and secure $40 rather than get $0 by rejecting."
31,Daniel Cohen,Ben Stein,1,22,40,accept,60,40,28,Male,Software Engineer,52,Female,Sales Director,0.63,0.41,0.53,0.37,0.72,0.31,0.83,0.57,0.22,0.71,419,387,806,"As a software engineer, I understand game theory and fairness principles. Ben Stein is a 52-year-old Sales Director from the USA, likely experienced in negotiations and fairness expectations. Given the cross-cultural context (Israel-USA) and the age/experience difference, I should offer a fair amount that respects her position while maximizing my gain. A 60-40 split in my favor ($40 offer) balances fairness with self-interest - it's substantially above the minimum threshold most people reject (typically below 20-30%) while still giving me the majority. This shows respect for her as an experienced professional while being economically rational.","While a 40-60 split isn't perfectly equal, $40 is a substantial amount of money that I'd be walking away with. Rejecting would mean getting nothing out of principle, which would hurt me more than it would make a point. From a practical standpoint, accepting $40 is clearly better than $0. The split isn't egregiously unfair - Daniel is keeping more, but I'm still getting a reasonable portion."
32,Daniel Cohen,Ben Stein,1,22,32,accept,68,32,28,Male,Software Engineer,52,Female,Sales Director,0.63,0.41,0.53,0.37,0.72,0.31,0.83,0.57,0.22,0.71,405,372,777,"As a software engineer, I understand game theory principles. Ben Stein is a 52-year-old Sales Director from the USA, likely experienced in negotiations and fairness expectations. Research shows ultimatum game offers below 20-30% are frequently rejected. Given cultural norms in both Israel and USA favor reasonably fair splits, and considering Ben's seniority and professional status, I should offer enough to be seen as respectful while maximizing my return. A 30-35% offer is typically safe. I'll offer $32, which is nearly a third, showing respect while keeping $68.","While this split is not equal, $32 is still a significant amount of money that I would gain. Rejecting would leave me with nothing. From a purely rational economic standpoint, $32 is better than $0. Though the 68-32 split seems unfavorable, accepting guarantees me a positive outcome rather than punishing both of us by getting nothing."
33,Daniel Cohen,Ben Stein,1,22,35,accept,65,35,28,Male,Software Engineer,52,Female,Sales Director,0.63,0.41,0.53,0.37,0.72,0.31,0.83,0.57,0.22,0.71,405,375,780,"As a software engineer, I approach this analytically. Ben is a 52-year-old Sales Director from the USA, likely experienced in negotiations and understanding value. Offering too little risks rejection (resulting in $0 for both), while offering too much reduces my gain. Research shows offers below 20-30% are frequently rejected. Given Ben's professional background in sales, she likely values fairness and will assess this strategically. I'll offer $35, which is above the typical rejection threshold, demonstrates respect, and leaves me with $65—a reasonable outcome that balances my interests with acceptance probability.","While a 35-65 split is not equal, $35 is still a significant amount of money that I would receive for simply participating in this game. Rejecting would leave me with nothing. From a rational economic perspective, gaining $35 is better than gaining $0, even if the split favors Daniel. The offer, while not generous, is not insultingly low either."
